,County,State,riskLevels,vaccination Ratio,actualvaccine,Death,Female,Male,10~14,15~19,20~24,25~34,35~44,45~54,55~64,65~74,75~84,85 plus
27,Cherokee County,GA,3,0.445,127975,383,69821,58230,2688,7170,6989,13778,17377,21767,23375,20836,11161,3075
28,Clarke County,GA,3,0.42,59245,160,32607,26572,1360,2992,4825,10554,9367,8359,8263,7898,4236,1487
29,Clay County,GA,2,0.568,1881,3,1078,795,27,83,52,123,176,191,347,501,321,79
30,Clayton County,GA,3,0.365,124205,596,70404,53763,3702,8530,7133,15229,18796,22401,23158,17057,6579,1871
31,Clinch County,GA,5,0.366,2782,32,1483,1292,35,115,133,323,368,419,520,537,274,59
32,Cobb County,GA,3,0.519,440698,1226,238503,202264,12272,29041,26557,61290,70932,75851,72813,56935,27154,8600
33,Coffee County,GA,3,0.32,16552,198,8807,7529,336,769,879,1995,2301,2679,3116,2763,1341,424
34,Colquitt County,GA,5,0.36,19224,158,9710,9276,378,851,1195,2560,2659,2801,3242,3200,1759,633
35,Columbia County,GA,3,0.401,70170,239,39888,30322,1460,4397,4341,8842,10632,10486,11756,11270,5387,1735
36,Cook County,GA,3,0.356,7098,52,3964,3137,107,323,326,778,891,1098,1338,1270,756,231
37,Coweta County,GA,3,0.381,64989,274,35764,29313,1306,3466,3446,6830,8554,11269,12777,10443,5595,1536
38,Crawford County,GA,3,0.331,4801,29,2547,2246,45,161,230,499,469,693,1120,973,462,160
39,Crisp County,GA,3,0.378,9960,97,5567,4389,228,477,403,1056,1358,1515,1817,1922,879,341
40,Dade County,GA,3,0.288,5412,16,2890,2520,77,184,255,422,476,642,1061,1345,720,236
41,Dawson County,GA,5,0.346,10237,54,5538,4699,126,314,437,1067,1095,1439,2140,2156,1188,301
42,Decatur County,GA,5,0.409,12860,87,6917,5966,253,578,625,1400,1668,2011,2440,2291,1199,448
43,DeKalb County,GA,3,0.489,421068,1155,233143,187903,11658,25543,24857,63742,70816,70067,68048,54086,24346,8702
44,Dodge County,GA,5,0.304,7491,114,4256,3212,137,329,380,782,846,1107,1452,1432,772,260
45,Dooly County,GA,5,0.318,4953,49,2728,2219,100,232,190,440,693,721,966,926,550,156
46,Dougherty County,GA,5,0.413,42115,354,23831,18153,1038,2218,1899,4436,5628,6403,7664,7722,3710,1463
47,Douglas County,GA,3,0.401,67192,256,37482,29770,1916,4431,3884,7351,9571,12885,12416,9195,4492,1226
48,Early County,GA,3,0.428,5094,55,2843,2246,83,237,203,461,688,777,913,980,566,203
49,Echols County,GA,3,0.264,1260,9,602,663,15,44,105,199,165,182,211,206,92,46
50,Effingham County,GA,3,0.327,24528,117,13582,10935,568,1313,1347,2614,3284,3968,4981,4042,1946,523
51,Elbert County,GA,5,0.375,8173,79,4515,3544,103,253,307,642,871,1144,1618,1748,1078,429
52,Emanuel County,GA,5,0.332,9161,91,5082,4086,121,317,380,951,1285,1402,1795,1722,947,270
53,Evans County,GA,3,0.362,4518,40,2449,2056,94,204,176,516,544,638,858,823,500,167
54,Fannin County,GA,3,0.367,10680,86,5623,5065,81,259,293,657,789,1185,2281,3004,1634,531
55,Fayette County,GA,3,0.56,71035,200,38074,32919,1144,3752,3807,7524,9146,10905,13673,12388,6636,2188
56,Floyd County,GA,5,0.37,42122,284,22979,18769,832,2101,2327,4730,5063,6113,7447,7668,4458,1537
57,Forsyth County,GA,3,0.484,129406,223,68507,60893,3886,9524,7595,12632,23424,26005,20424,14666,8804,2617
58,Franklin County,GA,3,0.319,8610,64,4644,3976,86,247,418,867,835,1288,1655,1738,1113,382
59,Fulton County,GA,3,0.504,603510,1573,320664,282414,16671,39772,39184,101150,96193,101339,93917,70452,33693,12219
60,Gilmer County,GA,3,0.377,13252,107,7003,6274,137,377,489,909,1133,1638,2683,3465,1931,520
